,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
833,ELV,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798
834,ELY,2,2.0,0.0,5.6318495,13.0,0.00619406,23.70084377,9.635e-05
835,EMD,2,2.0,1.0,6.1767176,11.0,0.00094979,0.0,0.00013607
836,EMI,2,2.0,1.0,7.72651767,12.0,2.89e-06,0.0,0.00016924
837,EMK,5,5.0,0.6,5.72939592,13.0,0.00144218,3580.1,0.00031334
838,EMN,1,1.0,,6.22902574,13.0,0.00057553,0.0,7.156e-05
839,EMS,2,2.0,0.0,8.72716028,13.0,5e-08,1808.0,0.00023084
840,EMX,2,2.0,0.0,6.58739489,14.0,6.18e-05,0.91666667,0.00014892
841,ENA,1,1.0,,5.73091964,13.0,0.00138838,0.0,8.547e-05
842,ENY,2,2.0,1.0,5.66747594,12.0,0.00639082,0.0,8.199e-05
843,EOI,3,3.0,0.66666667,7.21243918,14.0,3.415e-05,0.5,0.00019495
844,EPL,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.235e-05
845,EPR,2,2.0,1.0,5.95893076,12.0,0.00079969,0.0,0.00014142
846,EPS,1,1.0,,6.08870354,13.0,0.00206974,0.0,6.392e-05
847,EQS,5,5.0,0.5,5.58818729,13.0,0.00341021,3611.73601954,0.00026959
848,ERC,1,1.0,,6.28154956,13.0,0.00306243,0.0,6.923e-05
849,ERF,14,14.0,0.87912088,5.76706891,13.0,0.07679554,1.24250211,0.00026814
850,ERI,3,3.0,1.0,5.51185703,13.0,0.02147944,0.0,9.699e-05
851,ERZ,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.963e-05
852,ESC,5,5.0,0.3,5.96563227,13.0,0.00576747,3.94732441,0.00017133
853,ESD,5,5.0,0.5,5.72031709,13.0,0.00601849,1808.2547619,0.00025103
854,ESL,1,1.0,,5.40842025,12.0,0.01034316,0.0,6.481e-05
855,ESR,1,1.0,,7.64055087,15.0,2.893e-05,0.0,9.28e-05
856,ESU,1,1.0,,6.23228388,13.0,0.00452963,0.0,6.128e-05
857,ETH,4,4.0,0.66666667,5.45791556,12.0,0.01788174,135.76077233,0.00014984
858,ETZ,8,8.0,0.92857143,5.20441122,12.0,0.0387148,31.55410477,0.00019079
859,EUA,1,1.0,,6.56243701,13.0,0.00010654,0.0,8.672e-05
860,EUG,6,6.0,1.0,5.13305222,12.0,0.0379211,0.0,0.00017666
861,EUN,4,4.0,0.5,6.23151352,13.0,0.00969778,109.42033746,0.00013693
862,EUX,2,2.0,1.0,6.1099922,13.0,0.00164702,0.0,0.00011019
863,EVE,5,5.0,0.9,6.25992179,13.0,0.00570339,0.78333333,0.00022274
864,EVG,1,1.0,,6.68589035,14.0,0.00013593,0.0,0.00010901
865,EVN,38,38.0,0.31578947,5.36015855,12.0,0.16649604,4012.95891158,0.00086085
866,EVV,10,10.0,0.71111111,5.50569471,13.0,0.06281304,521.25841363,0.00025028
867,EWB,2,2.0,1.0,6.54119691,14.0,0.00068852,0.0,9.662e-05
868,EWN,2,2.0,1.0,5.80852166,13.0,0.01167697,0.0,7.786e-05
869,EXI,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798
870,EXM,1,1.0,,6.95750753,13.0,1.482e-05,0.0,9.799e-05
871,EXT,4,4.0,0.66666667,5.88179729,13.0,0.01424292,1.26964823,0.00011876
872,EYL,2,2.0,1.0,6.23239666,13.0,0.00063699,0.0,0.00012276
873,EYP,1,1.0,,5.96182028,13.0,0.00247156,0.0,7.176e-05
874,EYW,6,6.0,0.86666667,5.90210806,13.0,0.02953908,2.61195177,0.00015906
875,EZS,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.963e-05
876,FAE,3,3.0,0.66666667,5.43442603,12.0,0.01293055,22.32601864,0.0001152
877,FAI,34,34.0,0.04991087,5.74781771,13.0,0.00724132,130080.08406145,0.00204882
878,FAJ,3,3.0,0.66666667,6.53809558,14.0,0.00157701,0.66666667,0.0001264
879,FAO,22,22.0,0.65800866,5.20307872,12.0,0.16208969,129.87839147,0.00042526
880,FAR,3,3.0,1.0,5.46156849,13.0,0.02522045,0.0,0.00010834
881,FAT,10,10.0,0.86666667,5.10123973,12.0,0.05564182,235.24099855,0.0002694
882,FAV,2,2.0,1.0,6.07012229,13.0,0.00044784,0.0,0.00013859
883,FAY,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.955e-05
884,FBM,6,6.0,0.46666667,5.65018234,12.0,0.00648002,833.8809447,0.00026835
885,FCA,7,7.0,0.85714286,5.66551838,13.0,0.01224679,1.71785714,0.00023365
886,FDE,2,2.0,1.0,6.26854981,13.0,0.00623167,0.0,9.228e-05
887,FDF,14,14.0,0.28571429,5.30686882,12.0,0.03144784,7499.80375162,0.00042587
888,FDH,12,12.0,0.96969697,5.27028083,12.0,0.08971601,0.12670409,0.0002382
889,FEG,2,2.0,1.0,5.90154697,13.0,0.00381459,0.0,0.00010011
890,FEJ,1,1.0,,7.84378047,15.0,1.138e-05,0.0,9.526e-05
891,FEN,3,3.0,1.0,6.1044646,13.0,0.00135629,0.0,0.00012646
892,FEZ,2,2.0,1.0,5.26741803,12.0,0.0205128,0.0,8.217e-05
893,FHU,1,1.0,,5.74615402,13.0,0.00634151,0.0,6.221e-05
894,FIE,1,1.0,,7.28996265,14.0,6.729e-05,0.0,8.525e-05
895,FIH,20,20.0,0.28421053,5.19599243,12.0,0.03337466,22725.01202032,0.00070018
896,FIN,1,1.0,,9.72461931,14.0,0.0,0.0,0.00015224
897,FIZ,2,2.0,0.0,6.9545877,13.0,3.256e-05,8160.06870509,0.00017538
898,FJR,7,7.0,0.71428571,5.69041129,12.0,0.01274133,3.30056264,0.00019003
899,FKB,1,1.0,,6.37884588,13.0,0.00849325,0.0,5.796e-05
900,FKL,2,2.0,1.0,5.81738468,13.0,0.00721785,0.0,0.00010767
901,FKS,6,6.0,0.93333333,5.43234277,12.0,0.01563653,1.60623215,0.00018337
902,FLA,1,1.0,,6.95989125,14.0,4.93e-05,0.0,9.149e-05
903,FLG,1,1.0,,5.74615402,13.0,0.00634151,0.0,6.221e-05
904,FLL,56,56.0,0.39415584,4.78956054,12.0,0.26807445,15456.35689252,0.00125854
905,FLN,8,8.0,0.46428571,5.59686049,13.0,0.00861849,282.20078548,0.000334
906,FLO,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.955e-05
907,FLR,20,20.0,0.60526316,5.25583095,12.0,0.15636158,294.7481898,0.00040714
908,FLS,3,3.0,1.0,5.79615589,12.0,0.00080857,0.0,0.00015972
909,FLW,3,3.0,0.66666667,7.08286412,14.0,0.00021087,1.83333333,0.00019395
910,FMA,2,2.0,1.0,5.59009338,13.0,0.00327358,0.0,0.00013026
911,FMN,3,3.0,1.0,5.72268418,13.0,0.01500811,0.0,0.00011197
912,FMO,22,22.0,0.74458874,5.24689534,12.0,0.16053478,64.38420315,0.00041125
913,FMY,26,26.0,0.78461538,5.11049057,12.0,0.19818863,653.33544367,0.00052905
914,FNA,5,5.0,0.7,6.2336504,13.0,0.00851578,3.94914828,0.0001524
915,FNC,17,17.0,0.65441176,5.22604473,12.0,0.1390967,1860.83768781,0.00037937
916,FNI,2,2.0,1.0,5.2070903,12.0,0.03374494,0.0,8.084e-05
917,FNJ,6,6.0,0.46666667,5.40980336,12.0,0.0234961,68.87421452,0.00017531
918,FNT,8,8.0,0.82142857,5.51452765,13.0,0.0462066,26.36108021,0.00019962
919,FOC,28,28.0,0.63756614,5.65020706,12.0,0.02808223,63.18758112,0.00056866
920,FOD,1,1.0,,6.63044818,14.0,0.00012244,0.0,0.00010768
921,FOG,4,4.0,0.5,5.23545764,12.0,0.02369163,3616.0,0.00016443
922,FON,1,1.0,,6.62483524,14.0,0.00153095,0.0,7.612e-05
923,FOR,16,16.0,0.34166667,5.24096749,12.0,0.03663877,15687.99857859,0.00053437
924,FPO,10,10.0,0.8,5.95383034,13.0,0.05256473,26.47496817,0.00023338
925,FRA,237,237.0,0.11696346,4.35164967,11.0,0.97602259,428847.8032452,0.00496923
926,FRB,2,2.0,0.0,6.88952051,13.0,2.574e-05,3616.0,0.00024718
927,FRC,2,2.0,1.0,5.77303279,13.0,0.00477253,0.0,0.00010685
928,FRD,7,7.0,0.42857143,5.72057855,13.0,0.00612733,4821.51904762,0.00034377
929,FRE,1,1.0,,7.16975095,11.0,2.089e-05,0.0,0.00010849
930,FRO,2,2.0,1.0,6.26854981,13.0,0.00623167,0.0,9.228e-05
931,FRS,4,4.0,0.33333333,5.78527168,13.0,0.00632851,239.23567535,0.00015268
932,FRU,17,17.0,0.39705882,5.30568415,12.0,0.05534702,969.01409952,0.0004315
933,FRW,1,1.0,,6.660637,13.0,0.00010945,0.0,8.819e-05
934,FSC,3,3.0,0.66666667,5.2386511,12.0,0.02551112,0.08823529,9.868e-05
935,FSD,4,4.0,1.0,5.45497239,13.0,0.03211597,0.0,0.00012794
936,FSM,2,2.0,1.0,5.55976175,13.0,0.01405077,0.0,8.133e-05
937,FSP,5,5.0,0.6,5.87270074,13.0,0.0084,227.74346606,0.0001964
938,FTA,3,3.0,0.66666667,7.85319741,13.0,1.72e-06,0.5,0.00022797
939,FTU,4,4.0,0.33333333,6.18639662,13.0,0.00054297,1809.85,0.0002498
940,FUE,26,26.0,0.65846154,5.08965216,12.0,0.14738595,112.82354216,0.00047037
941,FUG,1,1.0,,6.65008657,13.0,0.00043356,0.0,6.056e-05
942,FUJ,2,2.0,0.0,6.26806631,12.0,0.00151534,0.1,9.13e-05
943,FUK,41,41.0,0.27439024,5.25774618,11.0,0.06196398,10370.28597962,0.00111778
944,FUN,1,1.0,,6.9808749,13.0,1.184e-05,0.0,0.00011041
945,FUT,1,1.0,,6.96952282,13.0,2.2e-05,0.0,9.463e-05
946,FVL,2,2.0,0.0,8.9555791,15.0,2e-08,5.0,0.00021798
947,FWA,10,10.0,1.0,5.59702877,13.0,0.08152391,0.0,0.00022997
948,FYU,6,6.0,0.46666667,6.74764861,14.0,0.00013599,3013.16666667,0.00038296
949,FYV,7,7.0,1.0,5.4946151,13.0,0.05026562,0.0,0.00017725
950,GAF,2,2.0,1.0,6.34788679,13.0,0.00890542,0.0,7.622e-05
951,GAJ,4,4.0,0.83333333,5.31972951,12.0,0.0141374,0.04255319,0.00013855
952,GAL,9,9.0,0.41666667,5.72007121,13.0,0.00155645,9124.15358929,0.00048641
953,GAM,3,3.0,0.66666667,6.72865427,14.0,2.672e-05,0.5,0.00020657
954,GAN,2,2.0,1.0,6.24611379,12.0,0.00199176,0.0,0.00011576
955,GAO,1,1.0,,5.80006202,13.0,0.00381542,0.0,6.565e-05
956,GAQ,1,1.0,,8.23204059,15.0,2e-07,0.0,0.0001257
957,GAR,3,3.0,0.0,7.72429966,12.0,3.05e-06,107.95238095,0.00023755
958,GAU,6,6.0,0.4,5.68722112,12.0,0.0051841,296.6033599,0.00026564
959,GAX,1,1.0,,7.18806355,14.0,2.6e-05,0.0,9.768e-05
960,GBD,2,2.0,1.0,5.95903392,13.0,0.0048732,0.0,9.698e-05
961,GBE,4,4.0,0.33333333,5.66067902,12.0,0.00616228,3620.18333333,0.00021993
962,GBJ,1,1.0,,6.25355884,13.0,0.00073297,0.0,6.932e-05
963,GBL,2,2.0,1.0,6.73771434,12.0,0.00026885,0.0,0.00014696
964,GCC,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676e-05
965,GCI,11,11.0,0.47272727,5.25066315,12.0,0.06580129,1284.87327193,0.00026911
966,GCK,4,4.0,0.66666667,5.81811157,13.0,0.01097771,38.60708235,0.00016507
967,GCM,12,12.0,0.51515152,5.573216,13.0,0.06295791,19248.8196527,0.00035189
968,GCN,2,2.0,0.0,5.6313981,13.0,0.00609301,3616.0,0.00014995
969,GDE,4,4.0,0.66666667,7.27718068,14.0,3.979e-05,1.0,0.00026616
970,GDL,37,37.0,0.29129129,5.08885467,12.0,0.09717608,5198.88499901,0.00088642
971,GDN,5,5.0,1.0,5.14654762,12.0,0.05241878,0.0,0.00013215
972,GDQ,5,5.0,0.5,6.27905775,13.0,0.00178458,3615.91666667,0.00027869
973,GDT,4,4.0,0.33333333,6.52666295,14.0,0.00069057,3618.42531158,0.00024753
974,GDV,2,2.0,0.0,7.6517802,15.0,1.916e-05,0.75,0.00015432
975,GDX,5,5.0,0.3,5.41681242,12.0,0.01132899,4244.34225772,0.00022688
976,GDZ,2,2.0,1.0,5.40607614,12.0,0.01093308,0.0,8.704e-05
977,GEG,16,16.0,0.66666667,5.14658773,12.0,0.06934367,322.89670613,0.00042252
978,GEL,2,2.0,1.0,6.5792294,14.0,0.00023202,0.0,0.00012867
979,GEO,4,4.0,0.66666667,5.57659846,13.0,0.01716043,33.05450914,0.00012883
980,GER,1,1.0,,5.80006202,13.0,0.00381542,0.0,6.565e-05
981,GES,2,2.0,1.0,5.71378719,11.0,0.0026725,0.0,0.00011095
982,GET,5,5.0,0.5,5.95880734,12.0,0.00082943,10842.58333333,0.00033009
983,GEV,3,3.0,1.0,5.68567817,13.0,0.00794317,0.0,0.00014623
984,GEW,2,2.0,0.0,8.72716028,13.0,5e-08,1808.0,0.00023084
985,GFF,4,4.0,0.5,5.88963886,12.0,0.00154172,1.5,0.00021657
986,GFK,2,2.0,0.0,5.63043129,13.0,0.00689584,1806.66666667,0.00012886
987,GFN,2,2.0,1.0,5.88949764,12.0,0.00149415,0.0,0.00011536
988,GGG,1,1.0,,5.59874886,13.0,0.00884296,0.0,6.202e-05
989,GGS,4,4.0,0.0,7.58963021,15.0,3.39e-06,9.56666667,0.00030953
990,GGT,3,3.0,1.0,5.86880438,13.0,0.01551169,0.0,0.00010991
991,GGW,2,2.0,1.0,6.65998627,14.0,0.00043109,0.0,0.00013514
992,GHA,9,9.0,0.52777778,6.22969852,13.0,0.00500908,7.60606061,0.00030387
993,GHB,4,4.0,1.0,5.86882453,13.0,0.01579305,0.0,0.000141
994,GHE,2,2.0,1.0,5.92126923,13.0,0.00193477,0.0,0.00012493
995,GHT,1,1.0,,6.66571807,13.0,0.00023734,0.0,7.287e-05
996,GIB,1,1.0,,5.19366585,12.0,0.01776177,0.0,5.995e-05
997,GIC,3,3.0,0.66666667,7.1423562,12.0,8.29e-06,1.14444444,0.00021033
998,GIL,1,1.0,,6.03013553,12.0,0.00285256,0.0,6.581e-05
999,GIS,2,2.0,1.0,5.85840229,12.0,0.00111942,0.0,0.00011506
1000,GIZ,8,8.0,0.64285714,5.63249699,12.0,0.01136513,1264.74462037,0.00024573
1001,GJA,1,1.0,,7.57713952,15.0,4.181e-05,0.0,9.383e-05
1002,GJL,1,1.0,,6.23169094,13.0,0.00367403,0.0,6.465e-05
1003,GJM,2,2.0,0.0,6.76103593,14.0,9.487e-05,3616.0,0.00019105
1004,GJT,3,3.0,1.0,5.71679223,13.0,0.01648263,0.0,0.00011048
1005,GKA,4,4.0,1.0,6.72570677,11.0,0.00015738,0.0,0.00025975
1006,GLA,36,36.0,0.2968254,5.06425286,12.0,0.16924514,21752.89222051,0.0008997
1007,GLF,1,1.0,,6.62483524,14.0,0.00153095,0.0,7.612e-05
1008,GLH,2,2.0,1.0,5.88106863,13.0,0.00595428,0.0,8.203e-05
1009,GLI,3,3.0,1.0,6.88466887,12.0,7.169e-05,0.0,0.00018133
1010,GLT,3,3.0,1.0,6.17364924,11.0,0.00105407,0.0,0.00016172
1011,GLV,2,2.0,0.0,7.72867535,15.0,9.5e-07,0.5,0.00015788
1012,GMB,1,1.0,,7.27907086,14.0,3.113e-05,0.0,9.708e-05
1013,GMI,2,2.0,1.0,7.72603608,12.0,2.85e-06,0.0,0.00015846
1014,GMR,2,2.0,1.0,6.07032747,13.0,0.0004474,0.0,0.00014466
1015,GNB,1,1.0,,5.28322669,12.0,0.01598316,0.0,6.235e-05
1016,GND,10,10.0,0.64444444,5.15201748,12.0,0.04208737,527.83941074,0.00025567
1017,GNI,1,1.0,,6.49848091,13.0,4.774e-05,0.0,9.046e-05
1018,GNU,2,2.0,0.0,6.72703283,14.0,2.586e-05,1806.0,0.00018086
1019,GNV,2,2.0,1.0,5.52319517,13.0,0.017781,0.0,7.955e-05
1020,GOA,12,12.0,0.56060606,5.24168633,12.0,0.09052327,149.25053544,0.00026701
1021,GOB,2,2.0,0.0,6.27930581,13.0,0.00168892,3616.0,0.00016887
1022,GOE,3,3.0,0.33333333,8.7280506,13.0,1.5e-07,12.16666667,0.00024745
1023,GOH,4,4.0,0.5,6.37032291,13.0,0.00033673,115.2314951,0.00026878
1024,GOI,8,8.0,0.5,5.75512995,12.0,0.01323242,47.47551471,0.00024547
1025,GOJ,7,7.0,0.52380952,5.27051913,12.0,0.03267978,253.22033167,0.00019615
1026,GOM,2,2.0,0.0,6.75140319,14.0,0.00027057,7230.0,0.00018275
1027,GON,1,1.0,,5.82114877,13.0,0.00792267,0.0,5.938e-05
1028,GOR,3,3.0,1.0,6.27912477,13.0,0.00175064,0.0,0.00017949
1029,GOT,26,26.0,0.57230769,5.25771776,12.0,0.1959091,1776.27770243,0.00057655
1030,GOU,2,2.0,1.0,6.23910221,13.0,0.00060293,0.0,0.00011188
1031,GOV,5,5.0,0.4,6.13836897,11.0,0.00071803,6773.55703581,0.00030137
1032,GPB,2,2.0,0.0,6.77713991,14.0,0.000139,15.37625313,0.00013899
1033,GPI,1,1.0,,6.86558072,14.0,0.0002463,0.0,8.157e-05
1034,GPN,2,2.0,1.0,6.73771434,12.0,0.00026885,0.0,0.00014696
1035,GPO,2,2.0,1.0,5.59009338,13.0,0.00327358,0.0,0.00013026
1036,GPT,8,8.0,0.71428571,5.49809097,13.0,0.05416312,679.06400967,0.00021278
1037,GPZ,1,1.0,,6.63044818,14.0,0.00012244,0.0,0.00010768
1038,GRB,8,8.0,0.85714286,5.513184,13.0,0.04128868,2.0156919,0.00020437
1039,GRI,5,5.0,0.4,5.8178589,13.0,0.00643412,3617.5,0.00029347
1040,GRJ,4,4.0,1.0,5.69847192,12.0,0.00633766,0.0,0.0001692
1041,GRL,3,3.0,0.0,7.72535222,12.0,2.75e-06,1846.89642857,0.00024688
1042,GRO,1,1.0,,5.91987409,13.0,0.00952371,0.0,6e-05
1043,GRR,19,19.0,0.83040936,5.71238819,13.0,0.12900862,97.43249995,0.0004054
1044,GRW,1,1.0,,7.08265231,14.0,0.00010456,0.0,9.019e-05
1045,GRX,3,3.0,1.0,5.96536514,13.0,0.02199742,0.0,9.314e-05
1046,GRY,1,1.0,,7.11787363,14.0,4.409e-05,0.0,9.702e-05
1047,GRZ,9,9.0,0.75,5.33252083,12.0,0.06843457,2.34594269,0.00019964
1048,GSO,17,17.0,0.95588235,5.67633952,13.0,0.13468955,7.40979827,0.00035459
1049,GSP,15,15.0,0.9047619,5.68706452,13.0,0.11911733,72.48353052,0.0003271
1050,GST,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798
1051,GTE,4,4.0,0.5,6.13835089,11.0,0.00071772,6571.30070867,0.00025512
1052,GTF,8,8.0,0.82142857,5.670487,13.0,0.019018,28.44002838,0.00025749
1053,GUA,17,17.0,0.48529412,5.00188979,12.0,0.07845465,8005.55262189,0.00049112
1054,GUB,1,1.0,,6.12173613,13.0,0.00078464,0.0,6.361e-05
1055,GUC,1,1.0,,5.81798729,13.0,0.00609709,0.0,6.676e-05
1056,GUD,2,2.0,1.0,7.23212961,14.0,1.132e-05,0.0,0.00019278
1057,GUH,2,2.0,0.0,5.8896659,12.0,0.00144813,3616.0,0.00017484
1058,GUI,2,2.0,0.0,7.27437025,14.0,0.00013269,0.66666667,0.00013102
1059,GUM,22,22.0,0.32467532,5.23828061,11.0,0.03521874,19479.71976628,0.00073284
1060,GUP,1,1.0,,5.95662364,13.0,0.00256951,0.0,6.592e-05
1061,GUR,9,9.0,0.16666667,6.72897775,11.0,0.00016467,28941.38123471,0.00064252
1062,GUW,3,3.0,0.33333333,5.68094742,13.0,0.01476189,1.51934162,0.00010027
1063,GVA,63,63.0,0.43215566,5.01429682,12.0,0.41172936,3248.30899408,0.00122557
1064,GVI,2,2.0,0.0,8.72701764,13.0,1e-07,7.0,0.00019252
1065,GVR,4,4.0,0.33333333,5.77207569,13.0,0.00484196,4056.79492314,0.00022041
1066,GWD,7,7.0,0.57142857,6.05111064,12.0,0.00545275,88.31317824,0.00023381
1067,GWL,2,2.0,1.0,5.68587032,12.0,0.00417067,0.0,9.997e-05
1068,GWT,3,3.0,0.66666667,5.94502606,13.0,0.01960908,0.08781362,9.13e-05
1069,GWY,1,1.0,,5.86113945,13.0,0.00567564,0.0,6.11e-05
1070,GXF,5,5.0,0.8,5.62355123,12.0,0.01192055,127.36146903,0.00015865
1071,GYA,2,2.0,1.0,7.59989492,15.0,1.07e-05,0.0,0.00016148
1072,GYE,14,14.0,0.67032967,5.58707346,13.0,0.05952033,1310.98961138,0.00041296
1073,GYI,2,2.0,1.0,6.23669148,13.0,0.00037086,0.0,0.00013363
1074,GYL,2,2.0,1.0,5.95771541,12.0,0.00080524,0.0,0.00013785
1075,GYM,3,3.0,0.66666667,5.76245974,13.0,0.00745646,2.63040543,0.00010799
1076,GYN,7,7.0,0.57142857,5.77007516,13.0,0.00539586,30.12829679,0.00028544
1077,GYS,1,1.0,,5.85744734,12.0,0.00135621,0.0,6.29e-05
1078,GZA,10,10.0,0.64444444,5.23328011,12.0,0.05763563,109.23464969,0.00024433
1079,GZM,1,1.0,,6.4055401,13.0,0.00583279,0.0,5.941e-05
1080,GZO,7,7.0,0.28571429,7.16966208,11.0,2.206e-05,10843.5,0.00055312
1081,GZT,2,2.0,1.0,5.66053316,13.0,0.01257505,0.0,8.963e-05
1082,HAA,2,2.0,1.0,7.267121,14.0,0.00010855,0.0,0.00012802
1083,HAC,1,1.0,,5.30646428,12.0,0.00666652,0.0,6.634e-05
1084,HAD,1,1.0,,5.68599568,13.0,0.00765049,0.0,6.628e-05
1085,HAE,1,1.0,,6.63134312,14.0,0.00010822,0.0,0.00010519
1086,HAJ,65,65.0,0.34711538,5.31564387,12.0,0.35376308,6952.76819042,0.00125842
1087,HAK,37,37.0,0.48048048,5.65015144,12.0,0.03096023,597.15605575,0.00076582
1088,HAM,77,77.0,0.32877649,5.37170894,12.0,0.40477548,24519.59409835,0.00155068
1089,HAN,17,17.0,0.34558824,5.42952447,11.0,0.04754632,15276.92150949,0.00059726
1090,HAQ,1,1.0,,6.24612674,12.0,0.00195638,0.0,6.656e-05
1091,HAR,15,15.0,0.98095238,5.64847821,13.0,0.1221969,3.09798201,0.00031765
1092,HAS,10,10.0,0.6,5.60860959,12.0,0.01032706,1088.65873678,0.00030265
1093,HAU,6,6.0,0.46666667,6.28440814,13.0,0.01082234,67.56061391,0.00020148
1094,HAV,51,51.0,0.20705882,4.80009466,12.0,0.21481066,41596.02236478,0.00145143
1095,HBA,3,3.0,1.0,5.8698379,12.0,0.00224116,0.0,0.0001518
1096,HBE,14,14.0,0.68131868,5.36170594,12.0,0.08848233,59.58625313,0.00031721
1097,HBT,1,1.0,,5.58812651,12.0,0.00379581,0.0,6.342e-05
1098,HCQ,3,3.0,0.0,7.95448148,14.0,5.8e-07,4558.56870509,0.00030128
1099,HCR,2,2.0,0.0,6.72612222,14.0,2.52e-05,3614.0,0.0001979
1100,HDS,2,2.0,1.0,5.65943316,12.0,0.00510559,0.0,0.00011221
1101,HDY,4,4.0,1.0,5.79908393,11.0,0.01630222,0.0,0.00014176
1102,HEH,9,9.0,0.36111111,6.33072323,12.0,0.00054735,1826.45302455,0.00046292
1103,HEL,64,64.0,0.23809524,4.79124228,12.0,0.31235577,70407.633392,0.00185433
1104,HER,19,19.0,0.64912281,5.18412621,12.0,0.12891043,123.92496596,0.00037164
1105,HET,8,8.0,0.46428571,5.62948546,12.0,0.01116845,102.55786426,0.0002535
1106,HFA,5,5.0,0.5,5.64573888,13.0,0.00941718,3.97012987,0.00018497
1107,HFD,35,35.0,0.78151261,4.94020032,12.0,0.23073536,472.88978092,0.00071734
1108,HFE,20,20.0,0.74210526,5.65011013,12.0,0.02441,3631.12233055,0.00044931
1109,HFN,1,1.0,,6.11801037,13.0,0.00239264,0.0,7.228e-05
1110,HFS,2,2.0,0.0,5.68594301,13.0,0.0076529,3616.0,0.00015894
1111,HFT,8,8.0,0.32142857,7.26679084,14.0,0.00011278,7525.80714286,0.00042759
1112,HGA,7,7.0,0.38095238,6.35585064,13.0,0.00478796,386.23334076,0.00026462
1113,HGD,2,2.0,0.0,7.18381332,12.0,2.666e-05,2146.07289324,0.00016841
1114,HGH,28,28.0,0.63227513,5.63823804,12.0,0.02568637,148.42495636,0.00057082
1115,HGL,1,1.0,,7.37162857,14.0,0.00012778,0.0,0.00011338
1116,HGN,1,1.0,,6.28546161,12.0,0.00035492,0.0,7.567e-05
1117,HGR,2,2.0,1.0,5.81725467,13.0,0.00722241,0.0,0.00010297
1118,HGU,10,10.0,0.31111111,6.72751579,11.0,0.00017875,3742.3,0.00062115
1119,HHH,2,2.0,1.0,5.80278679,13.0,0.00995654,0.0,7.804e-05
1120,HIB,1,1.0,,6.63032414,14.0,0.00012252,0.0,0.00010393
1121,HID,9,9.0,0.19444444,6.14259813,11.0,0.00044225,27077.52222222,0.00057052
1122,HII,2,2.0,1.0,5.7461311,13.0,0.00645618,0.0,0.00010819
1123,HIJ,14,14.0,0.58241758,5.24837638,11.0,0.03263042,743.94489003,0.0003835
1124,HIL,2,2.0,1.0,7.27709652,14.0,3.842e-05,0.0,0.00014565
1125,HIN,2,2.0,1.0,5.40439894,12.0,0.00569665,0.0,9.355e-05
1126,HIR,19,19.0,0.05263158,6.1697707,10.0,0.00117603,73824.16666667,0.00149844
1127,HIT,2,2.0,0.0,8.72748321,13.0,1e-07,1807.5,0.00020484
1128,HJR,2,2.0,0.0,6.68386091,13.0,0.00019104,0.5,0.00011545
1129,HKB,1,1.0,,6.74777673,14.0,0.00012862,0.0,9.268e-05
1130,HKD,6,6.0,0.33333333,5.31995707,12.0,0.01445611,3647.26829828,0.00022901
1131,HKG,98,98.0,0.20113612,4.60220703,11.0,0.28557449,306949.34903114,0.00239886
1132,HKK,1,1.0,,6.22624408,12.0,0.0003712,0.0,7.721e-05
1133,HKN,12,12.0,0.18181818,6.72617443,11.0,0.00015755,33800.39761905,0.00076633
1134,HKT,20,20.0,0.33684211,4.7921527,11.0,0.07003787,6387.3693652,0.000589
1135,HKY,1,1.0,,5.82916305,13.0,0.00697035,0.0,6.068e-05
1136,HLD,2,2.0,1.0,5.66450375,12.0,0.00584551,0.0,8.858e-05
1137,HLF,2,2.0,1.0,5.68596935,13.0,0.00778883,0.0,0.00011528
1138,HLH,1,1.0,,6.66626231,13.0,0.00010033,0.0,0.00010593
1139,HLN,6,6.0,1.0,5.67238902,13.0,0.01103661,0.0,0.00020985
1140,HLZ,5,5.0,0.9,5.85808464,12.0,0.00119609,0.25,0.00023189
1141,HME,5,5.0,0.5,6.23432639,13.0,0.00554166,1.84920635,0.00017386
1142,HMO,21,21.0,0.38571429,5.12177677,12.0,0.04417598,4638.20761061,0.00054736
1143,HNA,5,5.0,0.9,5.46842943,12.0,0.00923554,0.04255319,0.00016384
1144,HNH,1,1.0,,6.74854302,14.0,0.00012976,0.0,0.00010798
1145,HNL,51,51.0,0.21098039,4.59808054,11.0,0.15095625,202549.59598964,0.00162376
1146,HNM,2,2.0,1.0,5.58779844,12.0,0.00344302,0.0,9.507e-05
1147,HNS,2,2.0,1.0,6.74852264,14.0,0.00013211,0.0,0.0001878
1148,HOB,3,3.0,0.33333333,5.59772318,13.0,0.00910264,159.61856836,0.00014032
1149,HOD,6,6.0,0.86666667,5.71634003,12.0,0.02023388,0.90021452,0.00017147
